# entries copied (as 'select' -> copy -> 'paste into this file')  from '7439B0 SCB client list'(scb_clients_7439B0.xls.xls) linked on http://bcgbu.broadcom.com/DVT/bcm7439
# Client Name	7439B0		Comments
#	DDR0 Client#	"DDR1 Client#"
HVD1_ILCPU	83		HVD1 - Inner Loop ARC 
HVD1_OLCPU	84		HVD1 - Outer Loop ARC
HVD1_CAB	85		HVD1 -  CABAC 
HVD1_ILSI	86		HVD1 - IL Symbol read
SID	87	87	Still Image decoder
			
			
			
			
			
			
BVN_MAD_PIX_FD	94	94	MAD_R pixel feed (read) (instance 0); 6x Multi-context De-interlacer
BVN_MAD_QUANT	95	95	MAD_R quant motion history (R/W) (instance 0)
BVN_MAD_PIX_CAP	96	96	MAD_R pixel capture (write) (instance 0)
BVN_MAD1_PIX_FD	97	97	MAD_R pixel feed (read) (instance 1); Dedicated to xcode
BVN_MAD1_QUANT	98	98	MAD_R quant motion history (R/W) (instance 1)
BVN_MAD1_PIX_CAP	99	99	MAD_R pixel capture (write) (instance 1)
			
			
			
			
			
			
BVN_MFD0	106	106	MPEG feeders have access to all DRAMs (instance 0)
BVN_MFD0_1	107	107	MFD Alternate blockout (instance 0)
BVN_MFD1	108	108	MPEG feeders have access to all DRAMs (instance 1)
BVN_MFD1_1	109	109	MFD Alternate blockout (instance 1)
BVN_MFD2	110	110	MPEG feeders have access to all DRAMs (instance 2)
BVN_MFD2_1	111	111	MFD Alternate blockout (instance 2)
			
			
			
			
			
			
BVN_VFD0	118	118	Video feeder (instance 0)
BVN_VFD1	119	119	Video feeder (instance 1)
BVN_VFD2	120	120	Video feeder (instance 2)
BVN_VFD3	121	121	Video feeder (instance 3)
BVN_VFD4	122	122	Video feeder (instance 4)
			
			
			
BVN_CAP0	126	126	Video capture (instance 0)
BVN_CAP1	127	127	Video capture (instance 1)
BVN_CAP2	128	128	Video capture (instance 2)
BVN_CAP3	129	129	Video capture (instance 3)
BVN_CAP4	130	130	Video capture (instance 4)
			
			
			
BVN_GFD0	134	134	Graphic feeder (instance 0)
BVN_GFD1	135	135	Graphic feeder (instance 1)
BVN_GFD2	136	136	Graphic feeder (instance 2)
BVN_GFD3	137	137	Graphic feeder (instance 3)
			
			
			
BVN_MCVP0	141	141	MCVP client 0; 6x Multi-context De-interlacer
BVN_MCVP1	142	142	MCVP client 1
BVN_MCVP2	143	143	MCVP client 2
BVN_RDC	144	144	RDC
VEC_VBI_ENC0	145		TTX0 -- assigned to VBI path 0 (typically IT_0, HD/component display) and arbitrated with ITU656 path 0
VEC_VBI_ENC1	146		TTX1 -- assigned to VBI path 1 (typically IT_1, SD/CVBS display)
M2MC_0	147	147	2D graphics - instance 0 - client "0"
M2MC_1	148	148	2D graphics - instance 0 - client "1"
M2MC_2	149	149	2D graphics - instance 0 - client "2"
			
			
			
			
			
HVD0_DBLK_p2	155	155	HVD0 Deblock Writes, 2nd pipeline
HVD0_DBLK1_p2	156	156	HVD0 Deblock Writes / alternate blockout, 2nd pipeline
BVN_MAD4_PIX_FD	157	157	MAD_R pixel feed (read) (instance 4)
BVN_MAD4_QUANT	158	158	MAD_R quant motion history (R/W) (instance 4)
BVN_MAD4_PIX_CAP	159	159	MAD_R pixel capture (write) (instance 4)
M2MC1_0	160	160	2D graphics - instance 1 - client "0"
M2MC1_1	161	161	2D graphics - instance 1 - client "1"
M2MC1_2	162	162	2D graphics - instance 1 - client "2"
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
HOST_CPU_MCP_R_HI	200	200	Host CPU MCP read client - high priority
HOST_CPU_MCP_R_LO	201	201	Host CPU MCP read client - low priority
HOST_CPU_MCP_W_HI	202	202	Host CPU MCP write client - high priority
HOST_CPU_MCP_W_LO	203	203	Host CPU MCP write client - low priority
V3D_MCP_R_HI	204	204	V3D (VC4 graphics core) MCP read client - high priority
V3D_MCP_R_LO	205	205	V3D (VC4 graphics core) MCP read client - low priority
V3D_MCP_W_HI	206	206	V3D (VC4 graphics core) MCP write client (tile buffer writes) - high priority
V3D_MCP_W_LO	207	207	V3D (VC4 graphics core) MCP write client (tile buffer writes) - low priority
			Unused UBUS
			
			
			
			
			
			
			
HVD0_MOCOMP	216	216	HVD0 PFRI / MOCOMP
HVD1_MOCOMP	217	217	HVD1 PFRI / MOCOMP
VICE_PFRI	218	218	VICE2v2 instance 0 PFRI (required + optional)
			
			
			
			Unused LMB
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
TRACELOG	248	248	TraceLog
MEMC_RESERVED_0	249	249	Reserved for MEMC use
ZCQS_ENGINE	250	250	DRAM ZQ Calibration Short client
MSA	251	251	MSA (Memory Soft Access)
DIS0	252	252	DIS (DRAM Interface Stress) #0
DIS1	253	253	DIS (DRAM Interface Stress) #1
DRAM_INIT_ZQCS	254	254	DRAM Init (Being updated to ZQCS)
REFRESH	255	255	Refresh
